intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),early_applicant,posted_date
Business Development (Sales),Natturz Bio Kontrol Private Limited,yes,Hyderabad,0.0,10000,2.0,No,2025-06-30
Mechanical Engineering,Planys Technologies Private Limited,yes,Chennai,0.0,15000,6.0,yes,2025-07-04
Business Development (Sales),Fluid Labs,yes,Ahmedabad,0.0,8000,3.0,No,2025-06-20
Crowdfunding,Pawzz,yes,Workfromhome,0.0,8000,3.0,No,2025-07-04
Business Development (Sales) (Male),Tyresnmore.com,yes,"Mumbai,Bangalore",0.0,18000,3.0,No,2025-06-27
Architecture,RampMyCity,yes,Mumbai,0.0,25000,4.0,yes,2025-06-20
Sales & Marketing Executive,Prasad Food Divine,yes,Vashi,0.0,12000,3.0,No,2025-07-02
Content Writer,The Email Mafia,yes,Workfromhome,8.0,10000,3.0,No,2025-07-04
CRM & Lead Nurturing,Dreamscape Paint Solutions,yes,Workfromhome,0.0,17000,3.0,No,2025-07-04
Marathi Audio Recording Artist,Indiaum Solutions,yes,Bangalore,0.0,10000,2.0,yes,2025-06-13
Social Media Marketing,Nikara Realty,yes,Bangalore,0.0,5000,6.0,No,2025-06-29
Product Marketing,RCtechbox IT Services,yes,Bangalore,0.0,5000,6.0,No,2025-06-27
Inside Sales,InstaWeb Labs Private Limited,yes,Mumbai,6.0,16000,6.0,yes,2025-06-30
Brand Marketing,Teach Maven,yes,Workfromhome,7.0,20000,2.0,No,2025-07-04
Stock Market Learning & Outreach,Focus Wise Solution,yes,Workfromhome,0.0,5000,3.0,No,2025-07-04
Client Servicing,ROHA ASSOCIATES LLP,yes,Pune,0.0,18500,3.0,yes,2025-06-20
Human Resources (HR),Highrise Management And Wellness Services,yes,"Ahmedabad,Navrangpura",0.0,3000,2.0,No,2025-06-27
Graphic Design,InstaWeb Labs Private Limited,yes,Mumbai,0.0,10000,6.0,No,2025-06-30
Media & Public Relations (PR),Radiaant Consultant,yes,Thane,0.0,13000,3.0,No,2025-06-29
Performance Marketing,Break The Code,yes,"Mumbai,Virar,Vashi,MiraBhayandar,Vasai-Virar",0.0,5000,3.0,No,2025-07-01
Business Development (Sales),QUICKLEAP INNOVATIONS PRIVATE LIMITED,yes,Bangalore,0.0,20000,3.0,No,2025-06-30
Social Media Marketing,Minus Equals Plus,yes,"Mapusa,SouthGoa,Candolim,NorthGoa,GoaVelha,Calangute,Saligao,Pilerne,Panaji,Tiswadi",0.0,10000,6.0,yes,2025-06-13
Content and Social Media Marketing,Indogenmed Healthacare Private Ltd.,yes,Jaipur,0.0,10000,3.0,No,2025-06-27
Talent Acquisition,Traya Health,yes,Mumbai,0.0,15001,6.0,No,2025-07-03
Business Development (Sales),Aadi Giri Private Limited,yes,Bangalore,0.0,12000,6.0,No,2025-07-03
Sales and Marketing,AKSI AEROSPACE,yes,Hyderabad,4.5,12000,6.0,No,2025-07-03
Client Services & Marketing Lead,Movi Ecoserve Private Limited,yes,Mumbai,0.0,10000,6.0,yes,2025-07-03
Subject Matter Expert (SME),Megaminds IT Services,yes,Workfromhome,0.0,8000,6.0,No,2025-07-04
International Business Development,Break The Code,yes,Mumbai,4.0,5000,3.0,No,2025-07-04
3D Visualizer,Material Depot,yes,Bangalore,4.5,10000,6.0,No,2025-07-03
Operations & Project Management,Inspacco,yes,"Pune,Mumbai",0.0,10000,3.0,yes,2025-07-03
Customer Service/Customer Support,EVA2Z,yes,Noida,3.5,13000,3.0,No,2025-06-29
Video Editing/Making,LH2 Holdings,yes,Bangalore,0.0,15000,3.0,No,2025-07-03
Operations,Internshala,yes,Gurgaon,0.0,18000,6.0,No,2025-07-04
Sales Executive (Female),Requin Solutions Private Limited,yes,Jaipur,0.0,10000,6.0,yes,2025-06-13
Design & Communication,Movi Ecoserve Private Limited,yes,Mumbai,0.0,5500,6.0,No,2025-07-03
Business Development (Sales),Internshala,yes,Gurgaon,0.0,18000,4.0,No,2025-07-04
Business Development (Sales),GrowthGear,yes,Gurgaon,0.0,10000,6.0,No,2025-07-04
Inside Sales,Daalchini Technologies,yes,Noida,0.0,13000,6.0,No,2025-07-03
Inside Sales,Isourse,yes,Delhi,6.0,10000,6.0,No,2025-07-03
Human Resources,LH2 Holdings,yes,Bangalore,0.0,15000,3.0,No,2025-07-04
Event Marketing,AIR HR Solutions,yes,"Delhi,Gurgaon",0.0,8000,4.0,No,2025-07-04
Marketing,Sugary,yes,Mumbai,0.0,17000,3.0,No,2025-07-03
Business Strategy,Kyoren Labs Private Limited,yes,NaviMumbai,0.0,20000,3.0,No,2025-07-03
Graphic Design,ODN Digital Services Private Limited,yes,Delhi,0.0,10000,3.0,No,2025-07-03
Inside Sales,Teach Maven,yes,Bangalore,0.0,10000,3.0,No,2025-06-27
Graphic Design,Revogreen Technologies Private Limited,yes,Pune,0.0,5001,5.0,No,2025-06-27
Graphic Design & Video Editing,Wayspire Ed-Tech Private Limited,yes,Gurgaon,3.0,18000,6.0,No,2025-07-03
Graphic Design,Cocoma Digital Private Limited,yes,Mumbai,0.0,10000,6.0,No,2025-07-02
Business Development (Sales),Wayspire Ed-Tech Private Limited,yes,Gurgaon,4.5,18000,6.0,No,2025-07-03
