intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),early_applicant,posted_date
Business Development (Sales),Biojobz,no,Pune,0.0,5000,2.0,yes,2025-06-13
Fashion Design And Merchandising,LIBERTY ENTERPRISES,no,Delhi,0.0,16100,3.0,No,2025-06-13
Full Stack Development,Wisemonk TA,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Marketing with Data Entry,Across The Globe (ATG),yes,Workfromhome,0.0,1500,6.0,No,2025-06-13
Digital Marketing,Supaboard,yes,Workfromhome,0.0,12000,3.0,No,2025-06-13
React Native Development (iOS APP Development),Across The Globe (ATG),yes,Workfromhome,0.0,6000,6.0,No,2025-06-13
Business Development (Sales),Vishwaaz.AI (OPC) Private Limited,no,Mohali,0.0,12000,3.0,yes,2025-06-13
Sales,Build Your English,yes,Workfromhome,0.0,1500,2.0,No,2025-06-13
Visual Content Creation(Photography/Videography),AURGE,no,Gurgaon,0.0,12000,3.0,No,2025-06-13
Sales,Stanza Living,no,Ahmedabad,4.5,10000,3.0,yes,2025-06-13
Digital Marketing,DeepFacts Private Limited,no,Hyderabad,0.0,12000,6.0,No,2025-06-13
Fundamental And Technical Trading Data Analysis,Earnwell,yes,Workfromhome,5.0,26000,2.0,No,2025-06-13
Inside Sales,WarpDrive Tech Works,no,Bangalore,0.0,20000,6.0,No,2025-06-13
Fashion Design,Chirag Apparels,no,Nagpur,0.0,6000,3.0,No,2025-06-13
Chartered Accountancy (CA),Jatayu AI,no,Hyderabad,0.0,10000,6.0,yes,2025-06-13
Full Stack Development,Yardstick,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Business Development (Sales),Ideamagix,no,Thane,5.0,25000,6.0,yes,2025-06-13
Content Writing,Yardstick,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Human Resources (HR),Hermanos,no,"Thane,NaviMumbai,Panvel",2.0,6000,6.0,No,2025-06-13
Search Engine Optimization (SEO),Traffic Tail,no,Delhi,0.0,6000,6.0,No,2025-06-13
Fiverr Operations,Yardstick,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Graphic Design,Yardstick,yes,Workfromhome,0.0,25000,6.0,No,2025-06-13
Founding Engineer,Yardstick,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Data Analyst,Maxgen Technologies Private Limited,yes,Ahmedabad,0.0,12000,4.0,No,2025-06-13
Law/Legal,Moinuddin Ahmed Khan,no,Mumbai,0.0,10000,6.0,No,2025-06-13
Script Writing - Youtube And Instagram,Yardstick,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Business Development (Sales),Yardstick,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Video Editing/Making,Yardstick,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Video Editing/Making,CodeSkin,no,Mumbai,0.0,15000,3.0,yes,2025-06-13
Inside Sales,Unacademy (Sorting Hat Technologies Private Limited),no,Bangalore,0.0,20000,3.0,No,2025-06-13
Product Distribution,Handmade Heritage,no,"Indore,Bhopal",0.0,10000,2.0,yes,2025-06-13
Inside Sales,Greeshma Unacademy,no,Bangalore,0.0,20000,3.0,yes,2025-06-13
Business Development (Sales),Trudefend Technology Private Limited,no,Thane,0.0,13000,6.0,yes,2025-06-13
Content and Social Media Marketing,Board360 - Global Learning Academy,no,Gurgaon,0.0,10000,3.0,No,2025-06-13
Business Development,Jungleworks,yes,Workfromhome,0.0,10000,3.0,No,2025-06-13
Marketing,URE Legal Advocates,yes,Workfromhome,0.0,1000,5.0,No,2025-06-13
Psychology Facilitator,Centre For Social And Behaviour Change Communication,no,Mumbai,0.0,15000,6.0,No,2025-06-13
Event Management,EduAce Services,yes,Workfromhome,0.0,7000,6.0,No,2025-06-13
Digital Marketing,Noteswala,no,Workfromhome,0.0,1000,4.0,No,2025-06-13
Video Editing/Making,Ink In Caps,no,Mumbai,0.0,12000,6.0,No,2025-06-13
HR Recruiter,Codecraft IT Solutions,yes,Workfromhome,0.0,1001,6.0,No,2025-06-13
HR Coordinator,Codecraft IT Solutions,yes,Workfromhome,0.0,1001,6.0,No,2025-06-13
WordPress Development,Orufy Technologies Private Limited,yes,"Jaipur,Rajasthan",0.0,10000,6.0,No,2025-06-13
Social Media Marketing,Sakshi  Raj,no,Bangalore,0.0,7000,3.0,No,2025-06-13
Data Entry,ABM Traders,yes,"Secunderabad,Hyderabad",0.0,26000,2.0,No,2025-06-13
QA Testing,Chaintech Network,yes,Ahmedabad,0.0,10000,6.0,No,2025-06-13
Statistics,URE Legal Advocates,yes,Workfromhome,0.0,1000,5.0,No,2025-06-13
Social Media Coordinator,Codecraft IT Solutions,yes,Workfromhome,0.0,1200,3.0,No,2025-06-13
Sales and Marketing,Hexaurum Consultants,no,Bangalore,0.0,10000,3.0,No,2025-06-13
Accounting,Codecraft IT Solutions,yes,Workfromhome,0.0,3000,5.0,No,2025-06-13
Digital Marketing – Google Ads,Codecraft IT Solutions,yes,Workfromhome,0.0,3000,4.0,No,2025-06-13
Google Ads Account,Codecraft IT Solutions,yes,Workfromhome,0.0,3000,4.0,No,2025-06-13
Content and Social Media Marketing,Codecraft IT Solutions,yes,Workfromhome,0.0,1200,3.0,No,2025-06-13
Google Ads,Codecraft IT Solutions,yes,Workfromhome,0.0,1500,4.0,No,2025-06-13
Data Entry,Cherag Trader Private Limited,yes,Hyderabad,0.0,26000,3.0,No,2025-06-13
Content Researcher,Smaclify Technologies,yes,Pune,0.0,15000,2.0,No,2025-06-13
Social Media Marketing,Outbox,yes,Kolkata,2.4,8000,6.0,No,2025-06-13
Content Writing,Codecraft IT Solutions,yes,Workfromhome,0.0,3500,3.0,No,2025-06-13
Full Stack Development,Fincon,no,"Chandigarh,Mohali,SahibzadaAjitSinghNagar,Punjab,HimachalPradesh",5.0,16000,6.0,No,2025-06-13
iOS App Development,Unity Internet Private Limited,yes,Workfromhome,0.0,20000,6.0,No,2025-06-13
Law/Legal,Dileep Yashvardhan,no,Lucknow,0.0,8000,6.0,yes,2025-06-13
Business Consultant,Vayuz,no,Noida,0.0,10000,6.0,No,2025-06-13
Sales,Halma,no,Mumbai,4.0,10000,6.0,No,2025-06-13
Digital Marketing,AltCtrlFix Softwares And Business Consultancy Services,no,NaviMumbai,0.0,10000,6.0,No,2025-06-13
Business Growth,Uravu Labs,no,Bangalore,0.0,15000,3.0,No,2025-06-13
Sales and Marketing,Ageas Federal Life Insurance,yes,Delhi,0.0,2000,2.0,No,2025-06-13
Social Media Marketing,Codecraft IT Solutions,yes,Workfromhome,0.0,1500,4.0,No,2025-06-13
Sales Consultant,INvent Apple Premium Reseller,no,Delhi,0.0,10000,6.0,No,2025-06-13
Customer Service/Customer Support,Incra Soft Private Limited,no,Hyderabad,0.0,10000,6.0,yes,2025-06-13
Apparel Merchandising,Peachmode,no,Mumbai,0.0,15000,3.0,No,2025-06-13
Human Resources (HR),Carrer Next Pro,no,Mumbai,0.0,10000,6.0,No,2025-06-13
Sales and Marketing,Eniacworld Media Private Limited,yes,Jaipur,0.0,4000,5.0,No,2025-06-13
Digital Marketing,Prideinfotech Web Private Limited,no,Lucknow,0.0,15000,3.0,No,2025-06-13
Health Care Sales,Argala Revive,yes,Hyderabad,0.0,22000,3.0,No,2025-06-13
Marketing Intern,Cybervie,no,Workfromhome,0.0,7000,3.0,No,2025-06-13
Sales And Business Development,Devot AI,no,Workfromhome,0.0,10000,6.0,No,2025-06-13
Web Development,Talent Corner HR Services,yes,Mumbai,0.0,15000,3.0,No,2025-06-13
Human Resources (HR),Properties Wallah,yes,Noida,3.0,10001,3.0,No,2025-06-13
Inside Sales,StackDot,no,Ahmedabad,0.0,10000,6.0,yes,2025-06-13
Graphic Design,Maulik Specialty Chemicals Private Limited,yes,Delhi,0.0,20000,3.0,No,2025-06-13
Business Development (Sales),Enpidia Telangana,no,Workfromhome,0.0,28000,3.0,No,2025-06-13
Social Media Marketing,HappyFems,no,Workfromhome,3.5,5000,3.0,No,2025-06-13
Sales Operations,Jet Learn,yes,Delhi,0.0,10000,6.0,No,2025-06-13
Video Editing/Making,The Panchayati Podcast,no,Delhi,0.0,14500,3.0,No,2025-06-13
HR Associate,NxtJob,no,Workfromhome,0.0,2000,2.0,No,2025-06-13
HR Generalist,NxtJob,no,Workfromhome,0.0,2000,2.0,No,2025-06-13
Sales and Marketing,NIGHT STAR DIAMONDS LLP,no,Mumbai,0.0,10000,6.0,No,2025-06-13
Graphic Design,Nex Digi Tech Studios,no,Mumbai,0.0,7000,3.0,No,2025-06-13
Research Analyst,Greenswitch Solar Solutions Private Limited,no,Mumbai,0.0,10000,3.0,No,2025-06-13
Business Development (Sales),3A Media Group,no,NaviMumbai,3.0,14000,3.0,yes,2025-06-13
Business Development (Sales),Build Your English,yes,Workfromhome,0.0,10001,2.0,No,2025-06-13
Graphic Designer,BookBySlot,no,Faridabad,0.0,12000,4.0,No,2025-06-13
Digital Marketing,Red Buzz Incl,no,Delhi,0.0,5001,3.0,No,2025-06-13
Business Development (Sales),Cloudzure Consulting Services,no,Chennai,0.0,10000,3.0,yes,2025-06-13
Travel & Tourism,Eniacworld Media Private Limited,yes,Workfromhome,0.0,4000,5.0,No,2025-06-13
Sales and Marketing,PlanCover,yes,Gurgaon,6.0,10000,6.0,No,2025-06-13
Cloud Computing,Emoolar Technology Private Limited,yes,Workfromhome,3.5,5000,3.0,No,2025-06-13
Lead Generation,Shore Global.co,no,Workfromhome,0.0,3000,2.0,No,2025-06-13
Software Testing,Emoolar Technology Private Limited,yes,Workfromhome,3.0,6000,3.0,No,2025-06-13
Campus Ambassador,Hopscotch Child Therapy,no,Workfromhome,0.0,0,3.0,No,2025-06-13
Management Trainee,NxtJob,no,Workfromhome,0.0,2000,2.0,No,2025-06-13
Engineering Physics,Study Score Secure World,no,Workfromhome,0.0,0,3.0,No,2025-06-13
Content and Social Media Marketing,"LOCH, INC.",yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Business Developer,Revolusis Technology Solutions Pvt. Ltd.,yes,Gurgaon,2.0,15000,6.0,No,2025-06-13
Content Writing,Simit Bhagat Studios,yes,Mumbai,4.0,10000,3.0,No,2025-06-13
Copywriting,MediaCom India,yes,Workfromhome,6.0,6000,3.0,No,2025-06-13
Chat Specialist (Night Shift),Gharpayy,yes,Workfromhome,0.0,11000,3.0,No,2025-06-13
Teaching,Spark-A-Change Foundation,no,Mumbai,0.0,0,3.0,No,2025-06-13
Hindi Voice Recording Artist,Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-13
Bengali Audio Recording Expert,Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-13
Telugu Audio Recording Expert,Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-13
Marathi Voice Recording Artist,Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-13
Content and Social Media Marketing,Indika AI Private Limited,yes,Delhi,0.0,10000,2.0,No,2025-06-13
Android App Development,NetWit,yes,Workfromhome,0.0,10000,2.0,No,2025-06-13
Campus Ambassador,Banana Threads,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Business Strategy,Colgobe Trading Lmited,yes,"Chandigarh,Karnal",0.0,10000,6.0,No,2025-06-13
Project Management,Maa Sarala Agro Foods,no,Workfromhome,0.0,5020,2.0,No,2025-06-13
E-commerce Executive,Maa Sarala Agro Foods,yes,Workfromhome,0.0,5120,2.0,No,2025-06-13
Digital Marketing,Maa Sarala Agro Foods,yes,Workfromhome,0.0,5120,2.0,No,2025-06-13
Tamil Audio Recording Artist,Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-13
Recruitment,LogiNext Solutions,yes,Mumbai,0.0,25000,3.0,No,2025-06-13
Video Editing/Making,Maa Sarala Agro Foods,yes,Workfromhome,0.0,5120,2.0,No,2025-06-13
Content Research,Maa Sarala Agro Foods,yes,Workfromhome,0.0,5110,2.0,No,2025-06-13
Artificial Intelligence (AI),Softnerve Technology Private Limited,yes,Workfromhome,0.0,10000,3.0,No,2025-06-13
Backend Development,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Creative Design,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Business Research,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Content Development (English),International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Advertising,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
AdWords Optimization,Codecraft IT Solutions,yes,Workfromhome,0.0,4000,4.0,No,2025-06-13
Artificial Intelligence (AI),International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Research Analyst,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Trip/Operations Assistant,Eniacworld Media Private Limited,yes,Workfromhome,0.0,2000,4.0,No,2025-06-13
LinkedIn Marketing,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Product Marketing,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Media & Public Relations (PR),International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Social Media Marketing,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Travel Sales And Outreach,Eniacworld Media Private Limited,yes,Workfromhome,0.0,2000,2.0,No,2025-06-13
Corporate Sales,People Staffing Solutions,yes,Delhi,3.0,12000,6.0,No,2025-06-13
Business Development (Sales),Souloxy,yes,Bangalore,0.0,17000,3.0,No,2025-06-13
Market Research,Niruja HealthTech,yes,"Thane,NaviMumbai,Mumbai,MiraBhayandar",0.0,6500,2.0,No,2025-06-13
Marketing,Mubashir Shaikh,no,Workfromhome,0.0,5000,3.0,No,2025-06-13
Social Media Marketing,Minus Equals Plus,yes,Workfromhome,0.0,6000,3.0,No,2025-06-13
WordPress Development,Vandana Chordia,no,Workfromhome,8.0,10000,3.0,No,2025-06-13
Talent Acquisition,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
AI Agent Development,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Operations,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Data Analytics,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Human Resources (HR),International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Finance & Accounting,Kedar Financiio Amenity,no,Nashik,0.0,15000,6.0,No,2025-06-13
Human Resources (HR),Codecraft IT Solutions,yes,Workfromhome,0.0,1001,6.0,No,2025-06-13
Telecalling,Z Revolution Tech Private Limited,no,Gurgaon,0.0,10000,6.0,No,2025-06-13
Human Resources (HR),Niswarth – The Selfless,no,Workfromhome,0.0,0,6.0,No,2025-06-13
Search Engine Optimization (SEO),7k Network,no,Delhi,0.0,6000,6.0,No,2025-06-13
Finance,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
HR and Marketing Manager,Digitalbuddha Info Solutions LLP,no,Kannur,0.0,8000,3.0,yes,2025-06-13
Telecalling,EVENTEX,no,Bangalore,0.0,12000,2.0,No,2025-06-13
Video Editing & Design,BizMoat Global Private Limited,no,"Pune,Nagpur",0.0,4000,3.0,yes,2025-06-13
Business Development (Sales),Rapid ResQ,no,Ahmedabad,0.0,2001,3.0,yes,2025-06-13
Business Development (Sales),10xGrowth,no,Workfromhome,0.0,5000,2.0,No,2025-06-13
Sales and Marketing,Uchit Technology Private Limited,no,Pune,0.0,20000,6.0,No,2025-06-13
Data Science,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Marketing,International Institute Of SDGs & Public Policy Research,yes,Workfromhome,0.0,0,2.0,No,2025-06-13
Sales and Marketing,IB3ORCHARDS,no,Bangalore,0.0,17500,3.0,No,2025-06-13
Supply Chain & Logistics Operations,GJ Manufacturers Private Limited,no,Jaipur,0.0,12000,3.0,No,2025-06-13
HR Consultant,Team Management Services (TMS),no,"Thane,NaviMumbai,Mumbai",0.0,10000,6.0,No,2025-06-13
Graphic Design,Interiofy Decoration Design And Fit-Out Company Limited Liability Company,no,Dubai(UnitedArabEmirates),0.0,10000,2.0,No,2025-06-13
Inside Sales,Mywish Marketplace Private Limited,no,Noida,0.0,6600,6.0,yes,2025-06-13
Social Media Marketing,Monsher India Safety Equipment’s Private Limited,no,Mumbai,0.0,15000,3.0,No,2025-06-13
Product Management,GiveIndia,yes,Workfromhome,0.0,15000,6.0,No,2025-06-13
HR Operations Trainee,Team Management Services (TMS),no,"Thane,NaviMumbai,Mumbai",0.0,10000,6.0,No,2025-06-13
Business Development (Sales),Tirang Sports,no,Delhi,0.0,0,3.0,yes,2025-06-13
Content Creator,Analyttica Datalab Private Limited,no,Bangalore,0.0,20000,6.0,No,2025-06-13
Graphic Designer,The Hosteller,no,"Thane,NaviMumbai,Kalyan,Mumbai",0.0,8000,3.0,No,2025-06-13
Customer Service/Customer Support,Octro Incorporation,no,Noida,4.0,15000,6.0,No,2025-06-13
Graphic Design,Social Sparrow,no,Sikar,0.0,10000,3.0,yes,2025-06-13
Human Resources (HR),Cognigix Digital Learning Private Limited,no,NaviMumbai,0.0,7500,2.0,No,2025-06-13
Journalism,ILeads Auxiliary Services,no,"Dehradun,DehradunSub-District",0.0,12000,3.0,No,2025-06-13
Fundraising,Sanrakshan Foundation,yes,"Faridabad,Delhi,Gurgaon,Noida",0.0,20000,6.0,No,2025-06-13
Content and Social Media Marketing,Duende Designs Private Limited,no,Pune,0.0,6000,6.0,No,2025-06-13
Sales,Propmatrix Platforms Private Limited,yes,Pune,0.0,10000,3.0,No,2025-06-13
Finance,Cancrie Incorporation,no,Jaipur,0.0,4000,3.0,No,2025-06-13
Social Media Marketing,Itegoss,no,MiraBhayandar,3.0,10000,6.0,No,2025-06-13
Graphic Design,Incra Soft Private Limited,no,Hyderabad,0.0,10000,6.0,No,2025-06-13
Marketing,Riskcovry,yes,Bangalore,0.0,12000,3.0,No,2025-06-13
Social Media Marketing,Myfroyoland,no,Ahmedabad,0.0,10000,3.0,No,2025-06-13
Project Management,PWR Nukleus Technologies Private Limited,no,Hyderabad,0.0,12000,6.0,No,2025-06-13
Travel Consultant,Map My Destination,no,Ahmedabad,0.0,15000,6.0,No,2025-06-13
Social Media Marketing,CineFunk Studios LLP,no,Pune,0.0,3000,6.0,No,2025-06-13
Machine Learning,Anubrain Technology Private Limited,yes,Workfromhome,0.0,5000,3.0,No,2025-06-13
Quality Analyst,Accredian,yes,Gurgaon,0.0,15000,6.0,No,2025-06-13
Sales and Marketing,Hotel Green Castle,no,Delhi,0.0,5000,2.0,No,2025-06-13
Marketing,Rhea Mehta Design,no,Mumbai,0.0,8000,6.0,yes,2025-06-13
Sales and Marketing,GYK Professional,no,Delhi,0.0,15000,6.0,No,2025-06-13
Business Development (Sales),Green Palm - The Window Company,yes,"Jaipur,Kota",0.0,8000,3.0,No,2025-06-13
Business Development (Sales),Car Rehub,no,"Ghaziabad,Noida",3.0,15000,6.0,No,2025-06-13
Human Resources (HR),Big Pockett,no,Hyderabad,3.0,12500,2.0,No,2025-06-13
Search Engine Optimization (SEO),Health Gennie,no,Jaipur,3.5,5001,3.0,No,2025-06-13
Digital Marketing,ITIO Innovex Private Limited,no,"Ghaziabad,Noida",0.0,10000,6.0,No,2025-06-13
Market Research,P.E. Analytics Private Limited,yes,Gurgaon,4.0,10000,3.0,No,2025-06-13
Python Developer,Breakout,yes,Workfromhome,0.0,5000,6.0,No,2025-06-13
Video Editing/Making,TalkXO,no,Gurgaon,0.0,12000,3.0,No,2025-06-13
Mechanical Draftsman,Gudgudee,no,Bangalore,0.0,15000,6.0,yes,2025-06-13
Business Development (Sales),Maa Vaishno IT Zone,no,Delhi,0.0,5000,3.0,yes,2025-06-13
Market Research & Business Development,Everguard Life Ventures Private Limited,no,Pune,0.0,20000,3.0,No,2025-06-13
Business Development (Sales),CloudActive Labs India Private Limited,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Videography,Gokandid,no,Visakhapatnam,0.0,7000,3.0,yes,2025-06-13
Customer Service/Customer Support,Arihant Industrial Corporation Limited,no,"Mumbai,MiraBhayandar",0.0,10000,6.0,yes,2025-06-13
Digital Marketing,Gary Global Solutions,no,Noida,0.0,9000,6.0,No,2025-06-13
Manual Data Review And Audit,Breakout,yes,Workfromhome,0.0,5000,6.0,No,2025-06-13
Social Media Marketing,Phulkari Forever,no,Chandigarh,2.5,8000,6.0,No,2025-06-13
Social Media Marketing,Itegoss,no,MiraBhayandar,3.0,10000,3.0,No,2025-06-13
Purchase Management,Srishty Medical Pvt Ltd,yes,Delhi,0.0,10000,6.0,No,2025-06-13
Creative Strategist,Toposel,yes,Workfromhome,0.0,7000,6.0,No,2025-06-13
Graphic Design,Kreedology,no,Bangalore,0.0,15000,6.0,No,2025-06-13
Human Resources (Academic Publishing),Digital India360,no,"Bikaner,Jodhpur,Jaipur,Rajasthan",0.0,10000,3.0,No,2025-06-13
Human Resources (HR),Audi Mumbai West,yes,Mumbai,0.0,12000,6.0,No,2025-06-13
Cinematography,Ashish Jain,no,Delhi,0.0,15000,3.0,No,2025-06-13
Office Assistant-Female,Index Pharma,yes,Mumbai,0.0,15000,3.0,No,2025-06-13
LinkedIn Outreach Marketing,Digital Guruji,yes,Workfromhome,0.0,2000,2.0,No,2025-06-13
Social Media Marketing,M/S ISSA CROCHET THING,no,Workfromhome,0.0,2000,6.0,No,2025-06-13
Marketing,HiPaaS Infotech Private Limited,no,Mumbai,0.0,15000,3.0,No,2025-06-13
Field Sales,RecommerceX Private Limited,yes,"Agra,Aligarh,Bareilly,Ghaziabad,Kota,Lucknow,Meerut,Moradabad,Patiala,Varanasi,Jaipur,KanpurDehat",4.0,5000,3.0,No,2025-06-13
Brand Ambassador - Growth Marketing,Stealth Mode (Startup),no,Workfromhome,0.0,20000,3.0,No,2025-06-13
CNC & CAD Design Assistant / Art Studio,Harshaz Studio,yes,"Hyderabad,Moinabad",0.0,15000,6.0,No,2025-06-13
Logistics And Operations,QWQER - Qwy Technologies,no,Chennai,0.0,18000,6.0,No,2025-06-13
Creative Writing,Eniacworld Media Private Limited,yes,Workfromhome,0.0,3500,3.0,No,2025-06-13
Social Media Marketing,ISparx Infotech LLP,no,Mumbai,0.0,12000,3.0,No,2025-06-13
Backend Development,Whatbytes,yes,Workfromhome,0.0,20000,6.0,No,2025-06-13
Business Development (Sales),Takeback,no,Workfromhome,0.0,3500,6.0,No,2025-06-13
Rajasthani Transcription,Indika AI Private Limited,yes,Workfromhome,0.0,10000,3.0,No,2025-06-13
Lead Generation,Cognitive Prism Consulting Pvt Ltd,no,Bangalore,0.0,10000,5.0,yes,2025-06-13
Market Research,PWR Nukleus Technologies Private Limited,yes,Hyderabad,0.0,15000,6.0,No,2025-06-13
Digital Marketing,WHealthyfy Health Tech Private Limited,no,Thane,0.0,7500,6.0,yes,2025-06-13
Customer Support Operations,Pick Your Plant,yes,Workfromhome,0.0,3000,3.0,No,2025-06-13
Google Ads Specialist,Codecraft IT Solutions,yes,Workfromhome,0.0,4000,6.0,No,2025-06-13
Graphic Designer - Creative & Generative AI,ShikhaShikz Marketing Private Limited,yes,Workfromhome,3.0,10000,3.0,No,2025-06-13
Digital Marketing And Social Media Specialist,Change Learning Sphere,no,Ghaziabad,0.0,12000,6.0,No,2025-06-13
Graphic Design,Inventurs Cube LLP,no,Indore,0.0,3000,2.0,No,2025-06-13
Audit Assistant,Rekha Gupta & Associates,yes,Delhi,2.1,12000,6.0,No,2025-06-13
Operations,Podhigai Ads Private Limited,no,Kochi,0.0,5001,3.0,yes,2025-06-13
Fashion Marketing And Social Media Management,Blue & Yellow Socials,yes,Delhi,0.0,9000,2.0,No,2025-06-13
Business Development (Sales),Finzo Ventures Private Limited,yes,Ahmedabad,5.0,15000,2.0,No,2025-06-13
Video Editing/Making,BOI Services,no,Delhi,3.0,10000,3.0,No,2025-06-13
Influencer Marketing,Flash,no,Bangalore,0.0,25000,3.0,No,2025-06-13
Social Media And Business Operations,Simplease,yes,Gurgaon,0.0,12000,3.0,No,2025-06-13
Customer Service/Customer Support,GroMo,yes,Gurgaon,0.0,20000,3.0,No,2025-06-13
Accounts,Brightbots Private Limited,no,Gurgaon,0.0,15000,6.0,No,2025-06-13
Business Development,Nurture Xcel,no,Mumbai,0.0,7000,3.0,No,2025-06-13
Sales & Growth Associate,Ayuapp Health Private Limited,yes,"Thane,NaviMumbai,Mumbai,Kalyan,Panvel",0.0,24000,3.0,No,2025-06-13
Graphic Design,CI360 Degrees,no,Ahmedabad,3.5,20000,3.0,No,2025-06-13
IT Skills,STRATMONT INDUSTRIES LIMITED,no,Mumbai,0.0,5000,6.0,No,2025-06-13
Online Executive Assistant,Vikalp India Private Limited,yes,Workfromhome,0.0,9000,6.0,No,2025-06-13
Graphic Design,Eniacworld Media Private Limited,yes,Workfromhome,0.0,2000,3.0,No,2025-06-13
Content and Social Media Marketing,TringBox,yes,Workfromhome,7.0,8000,2.0,No,2025-06-13
Business Development (Sales),Blue Pearl Health Tech Pvt. Ltd.,no,Pune,0.0,5000,3.0,yes,2025-06-13
Web Development,Taskify,yes,Bangalore,0.0,25000,6.0,No,2025-06-13
Content and Social Media Marketing,Codva Systems (DENWO Enterprises),no,Bangalore,0.0,10000,3.0,yes,2025-06-13
Digital Marketing,Mix Media Labs,no,Bangalore,4.0,10000,4.0,No,2025-06-13
Video Editing/Making,Growify Digital,yes,Delhi,0.0,20000,6.0,No,2025-06-13
Sales and Marketing,Zataakse Technology Solutions Private Limited,yes,NaviMumbai,4.0,17000,6.0,No,2025-06-13
Doubt Solving (Inorganic Chemistry),KUNDUZ TECHNOLOGIES PRIVATE LIMITED,yes,Workfromhome,0.0,11000,3.0,No,2025-06-13
Subject Matter Expert (Physics),KUNDUZ TECHNOLOGIES PRIVATE LIMITED,yes,Workfromhome,0.0,11000,3.0,No,2025-06-13
Operations And Marketing Intern,Shubh Investment Partners,no,Workfromhome,0.0,15000,6.0,No,2025-06-13
Marketing,SKIMA,no,Mumbai,0.0,20000,6.0,No,2025-06-13
Recruitment,Heliosmedium Bazaar Pvt. Ltd.,no,NaviMumbai,0.0,10000,6.0,No,2025-06-13
HR Consultant,TANKED IND AQUATIC KINGDOM,no,Ghaziabad,0.0,3000,3.0,No,2025-06-13
Business Development (Sales),DOC-Q,no,Bangalore,0.0,5000,3.0,No,2025-06-13
Business Development (Sales),Cargopro,no,Workfromhome,0.0,5000,3.0,No,2025-06-13
Market Research,Vanel Tech India Private Limited,no,Workfromhome,0.0,10000,3.0,No,2025-06-13
Business Development (Sales),DataToBiz,no,Workfromhome,0.0,15000,6.0,No,2025-06-13
Business Consultant,TrueBiz Learning Info Solutions LLP,no,Delhi,0.0,10000,3.0,No,2025-06-13
UX/UI Design,Maalexi Incorporation,yes,Workfromhome,0.0,10000,6.0,No,2025-06-13
Client Servicing,G-CORP MEDIA,no,Mumbai,0.0,10000,2.0,yes,2025-06-13
Business Development (Sales),Bespoke Havens,no,Bangalore,0.0,12000,3.0,yes,2025-06-13
Graphic Design,Mdhya Welfare Foundation,no,Udaipur,0.0,5000,2.0,yes,2025-06-13
Associate Manager,PRUS Wealth Services,no,Workfromhome,0.0,1001,6.0,No,2025-06-13
