intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
Artificial Intelligence (AI),Alphabt,Actively hiring,Chennai,,15000.0,6,1 day ago,,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-chennai-at-alphabt1751532851
Events & Inventory Management,Qreative,Actively hiring,"Thane,NaviMumbai,Mumbai,Virar,Vasai",,12000.0,3,1 day ago,,https://internshala.com/internship/detail/events-inventory-management-internship-in-multiple-locations-at-qreative1751528113
Medical Sales,Neuralbits Technologies Private Limited,Actively hiring,"Secunderabad,Hyderabad",₹ 3.6,21000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/medical-sales-internship-in-multiple-locations-at-neuralbits-technologies-private-limited1751516877
Content Writing,Fantasy Flora Events Private Limited,Actively hiring,Hyderabad,₹ 2.5,2500.0,,1 day ago,,https://internshala.com/internship/detail/content-writing-internship-in-hyderabad-at-fantasy-flora-events-private-limited1751508766
Managerial,Movi Ecoserve Private Limited,Actively hiring,Mumbai,,7500.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/managerial-internship-in-mumbai-at-movi-ecoserve-private-limited1751518831
Founder’s Office,Techczar India Private Limited,Actively hiring,Gurgaon,,15000.0,6,Few hours ago,,https://internshala.com/internship/detail/founders-office-internship-in-gurgaon-at-techczar-india-private-limited1751606780
Marketing,Ketto Online Ventures Private Limited,Actively hiring,Mumbai,,15000.0,4,1 day ago,,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-ketto-online-ventures-private-limited1751537799
Social Media Marketing,Movi Ecoserve Private Limited,Actively hiring,Mumbai,,5500.0,6,1 day ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-movi-ecoserve-private-limited1751519068
Product Management,Ketto Online Ventures Private Limited,Actively hiring,Mumbai,,25000.0,6,Few hours ago,,https://internshala.com/internship/detail/product-management-internship-in-mumbai-at-ketto-online-ventures-private-limited1751610936
Telecalling,Delkon Technologies,Actively hiring,Bareilly,,30000.0,6,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/telecalling-internship-in-bareilly-at-delkon-technologies1751606470
Marketing,Perceived Design,Actively hiring,Bangalore,₹ 3,12000.0,4,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/marketing-internship-in-bangalore-at-perceived-design1751615834
Data Entry,Content-Whale,Actively hiring,Mumbai,,10000.0,6,1 day ago,,https://internshala.com/internship/detail/data-entry-internship-in-mumbai-at-content-whale1751538402
Digital Marketing,Fantasy Flora Events Private Limited,Actively hiring,Hyderabad,₹ 2.5,2500.0,,1 day ago,,https://internshala.com/internship/detail/part-time-digital-marketing-internship-in-hyderabad-at-fantasy-flora-events-private-limited1751520669
Media & Public Relations (PR),Right Health India,Actively hiring,Mumbai,₹ 6,20000.0,3,1 day ago,,https://internshala.com/internship/detail/media-public-relations-pr-internship-in-mumbai-at-right-health-india1751526010
"Electrical, Electronics & Systems Engineering, EV",Gray Mobility,Actively hiring,Bangalore,,15000.0,6,1 day ago,,https://internshala.com/internship/detail/electrical-electronics-systems-engineering-ev-internship-in-bangalore-at-gray-mobility1751520875
Chemistry,Technolira Innovations Private Limited,Actively hiring,Pune,,8000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/chemistry-internship-in-pune-at-technolira-innovations-private-limited1751459196
Influencer Marketing,Right Health India,Actively hiring,Mumbai,₹ 6,20000.0,3,1 day ago,,https://internshala.com/internship/detail/influencer-marketing-internship-in-mumbai-at-right-health-india1751526393
Data Entry,Total Transport System Limited,Actively hiring,Mumbai,,18000.0,3,1 day ago,,https://internshala.com/internship/detail/data-entry-internship-in-mumbai-at-total-transport-system-limited1751525510
Architecture,Ipsita Mondal Design Co.,Actively hiring,Gurgaon,,20000.0,6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-gurgaon-at-ipsita-mondal-design-co1751360039
Human Resources (HR),CareerDNA,Actively hiring,Kolkata,₹ 3,20000.0,3,Few hours ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-kolkata-at-careerdna1751604856
Human Resources (HR),Ziegler Aerospace,Actively hiring,Hyderabad,₹ 4,8000.0,6,1 day ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-hyderabad-at-ziegler-aerospace1751472518
Human Resource Consultant,WEMATTER PXT Limited,Actively hiring,Mumbai,,15000.0,6,Few hours ago,,https://internshala.com/internship/detail/human-resource-consultant-internship-in-mumbai-at-wematter-pxt-limited1751605631
Human Resources (HR),Sykam Consultancy Services Private Limited,Actively hiring,Hyderabad,,13000.0,3,Few hours ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-hyderabad-at-sykam-consultancy-services-private-limited1751606396
Electrical Engineering,Planys Technologies Private Limited,Actively hiring,Chennai,,15000.0,6,Few hours ago,,https://internshala.com/internship/detail/electrical-engineering-internship-in-chennai-at-planys-technologies-private-limited1751603236
Sales,The Affordable Organic Store,Actively hiring,Workfromhome,,1500.0,6,Just now,,https://internshala.com/internship/detail/work-from-home-sales-internship-at-the-affordable-organic-store1751617079
Sales and Marketing,Buffalo Extraction Systems Private Limited,Actively hiring,Pune,,8000.0,2,1 week ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-pune-at-buffalo-extraction-systems-private-limited1750834427
Administration,Vivaan Parashar,Actively hiring,Mumbai,,9000.0,6,1 day ago,,https://internshala.com/internship/detail/administration-internship-in-mumbai-at-vivaan-parashar1751534518
Content Writing,TFM Overseas Education Consultants,Actively hiring,Mumbai,,7000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/part-time-content-writing-internship-in-mumbai-at-tfm-overseas-education-consultants1751525772
Marketing,Boho Procure,Actively hiring,Mumbai,,22000.0,5,Few hours ago,,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-boho-procure1751603890
Telecaller Executive,Intugine Technologies Private Limited,Actively hiring,Bangalore,,10001.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/telecaller-executive-internship-in-bangalore-at-intugine-technologies-private-limited1751459200
Law/Legal,Anurag Agrawal,Actively hiring,Indore,,4000.0,6,4 days ago,Be an early applicant,https://internshala.com/internship/detail/law-legal-internship-in-indore-at-anurag-agrawal1751269447
Production,Boxedge Solutions LLP,Actively hiring,Bangalore,,10000.0,3,2 days ago,,https://internshala.com/internship/detail/part-time-production-internship-in-bangalore-at-boxedge-solutions-llp1751446802
Business Development (Sales),Natturz Bio Kontrol Private Limited,Actively hiring,GoaVelha,,10000.0,2,4 days ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-goa-velha-at-natturz-bio-kontrol-private-limited1751270203
Performance Marketing,My Equity School,Actively hiring,Mumbai,,20000.0,3,1 day ago,,https://internshala.com/internship/detail/performance-marketing-internship-in-mumbai-at-my-equity-school1751457028
Content and Social Media Marketing,Haus & Kinder,Actively hiring,Mumbai,,14000.0,6,3 days ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-mumbai-at-haus-kinder1751357585
Influencer Marketing,Fantasy Flora Events Private Limited,Actively hiring,Hyderabad,₹ 2.5,2500.0,,1 day ago,Be an early applicant,https://internshala.com/internship/detail/part-time-influencer-marketing-internship-in-hyderabad-at-fantasy-flora-events-private-limited1751510376
Growth Marketing,CogniAI Private Limited,Actively hiring,Gurgaon,,15000.0,3,Few hours ago,,https://internshala.com/internship/detail/growth-marketing-internship-in-gurgaon-at-cogniai-private-limited1751604666
Subject Matter Expert (Anatomy And Physiology),KUNDUZ TECHNOLOGIES PRIVATE LIMITED,Actively hiring,Workfromhome,,6000.0,3,Just now,Be an early applicant,https://internshala.com/internship/detail/work-from-home-part-time-subject-matter-expert-anatomy-and-physiology-internship-at-kunduz-technologies-private-limited1751616769
Social Media Marketing,CogniAI Private Limited,Actively hiring,Gurgaon,,15000.0,3,Few hours ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-gurgaon-at-cogniai-private-limited1751604500
E-Commerce Operations,Threads And Blocks,Actively hiring,Mumbai,,7000.0,3,2 days ago,,https://internshala.com/internship/detail/e-commerce-operations-internship-in-mumbai-at-threads-and-blocks1751453051
Graphic Design,Eka Studio By Sana,Actively hiring,Delhi,,15000.0,3,Few hours ago,,https://internshala.com/internship/detail/graphic-design-internship-in-delhi-at-eka-studio-by-sana1751605706
Content and Social Media Marketing,AnacoDiva Foods Private Limited,Actively hiring,"NaviMumbai,Mumbai",,6000.0,3,1 day ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-anacodiva-foods-pvt-ltd1751458492
Video Editing/Making,Simit Bhagat Studios,Actively hiring,Mumbai,₹ 4,10000.0,3,2 days ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-simit-bhagat-studios1751446712
Graphic Design,Break The Code,Actively hiring,"Thane,Mumbai,Virar,MiraBhayandar,NalaSopara,Dahisar,Titwala,Vasai-Virar,Bandra",,5000.0,3,2 days ago,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-multiple-locations-at-break-the-code1751450661
Graphic Design,Prodigious Online,Actively hiring,Zirakpur,,2000.0,3,4 days ago,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-zirakpur-at-prodigious-online1751275308
Operations,Universal Adventures,Actively hiring,Workfromhome,,2000.0,3,Few hours ago,,https://internshala.com/internship/detail/work-from-home-operations-internship-at-universal-adventures1751611788
Video Content Creator (Marathi),ClusterDev Technologies Private Limited,Actively hiring,Workfromhome,,18000.0,2,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/work-from-home-part-time-video-content-creator-marathi-internship-at-clusterdev-technologies-private-limited1751615390
Administration Trainee,Avaesa,Actively hiring,Chennai,,10000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/administration-trainee-internship-in-chennai-at-avaesa1751458720
Sales,Valuebound,Actively hiring,Bangalore,₹ 4.5,15000.0,3,3 days ago,,https://internshala.com/internship/detail/sales-internship-in-bangalore-at-valuebound1751286083
Robotics,Xboom Utilities Private Limited,Actively hiring,Bangalore,,10000.0,3,2 days ago,,https://internshala.com/internship/detail/robotics-internship-in-bangalore-at-xboom-utilities-private-limited1751446765
Graphic Design,Alphanumeric Ideas Private Limited,Actively hiring,Mohali,₹ 2.4,6000.0,3,4 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-graphic-design-internship-in-mohali-at-alphanumeric-ideas-private-limited1751258223
PHP Development,Enpointe,Actively hiring,Mumbai,,12000.0,6,Few hours ago,,https://internshala.com/internship/detail/php-development-internship-in-mumbai-at-enpointe1751607786
Campus Ambassador,Careers360,Actively hiring,Workfromhome,,,2,Few hours ago,,https://internshala.com/internship/detail/campus-ambassador-programme-at-careers3601751610379
Humane Education (kindness To Animals) Sessions Co-ordination,Maitri Bhavna Foundation,Actively hiring,Jaipur,,10000.0,4,7 days ago,,https://internshala.com/internship/detail/part-time-humane-education-kindness-to-animals-sessions-co-ordination-internship-in-jaipur-at-maitri-bhavna-foundation1751021618
Public Relations (PR),Jarurat Care,Actively hiring,Workfromhome,,,2,Just now,Be an early applicant,https://internshala.com/internship/detail/work-from-home-part-time-public-relations-pr-internship-at-jarurat-care1751617569
Customer Service/Customer Support,Navir Consultants,Actively hiring,"Thane,NaviMumbai,Dombivli,Kalyan,Vashi,Panvel",,30000.0,6,2 days ago,,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-multiple-locations-at-navir-consultants1751430998
Business Development (Sales),Surfair Express Cargo And Logistics Private Limited,Actively hiring,Bangalore,,115000.0,3,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-surfair-express-cargo-and-logistics-pvt-ltd1750756329
Business Development (Sales),Iblix Digital,Actively hiring,Kolkata,,12000.0,3,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-kolkata-at-iblix-digital1751288643
Operations,Medius Technologies Private Limited,Actively hiring,"Thane,NaviMumbai,Mumbai",,10000.0,6,2 days ago,,https://internshala.com/internship/detail/operations-internship-in-multiple-locations-at-medius-technologies-private-limited1751371661
