,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
87,YouTube Operations,Internshala,Actively hiring,Gurgaon,,,6,Few hours ago,,https://internshala.com/internship/detail/youtube-operations-internship-in-gurgaon-at-internshala1750678393
88,Videography,Eniacworld Media Private Limited,Actively hiring,Delhi,,,3,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/part-time-videography-internship-in-delhi-at-eniacworld-media-private-limited1750671301
89,Content Writing,Zero Dimensions,Actively hiring,Ahmedabad,,,6,6 days ago,Be an early applicant,https://internshala.com/internship/detail/content-writing-internship-in-ahmedabad-at-zero-dimensions1750139099
90,Architecture,Setu Design Studio,Actively hiring,Delhi,,,4,2 weeks ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-delhi-at-setu-design-studio1749126011
91,Content and Social Media Marketing,DRK Productions,Actively hiring,Jaipur,,"6,000 - 15,000",3,3 days ago,,https://internshala.com/internship/detail/part-time-content-and-social-media-marketing-internship-in-jaipur-at-drk-productions1750402468
92,Social Media Marketing,Minus Equals Plus,Actively hiring,"Mapusa,SouthGoa,Candolim,NorthGoa,GoaVelha,Calangute,Saligao,Pilerne,Panaji,Tiswadi",,"5,000 - 10,000",6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/social-media-marketing-internship-in-multiple-locations-at-minus-equals-plus1749610762
93,Architecture,Collabtec Design Build Private Limited,Actively hiring,"Thane,Mumbai",₹ 2.4,"9,000 - 10,000",6,4 days ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-thane-at-collabtec-design-build-private-limited1750314822
94,Company Secretary (CS),Registration Arena,Actively hiring,"Pune,Pimpri-Chinchwad",,"5,000 - 10,000",6,5 days ago,Be an early applicant,https://internshala.com/internship/detail/company-secretary-cs-internship-in-multiple-locations-at-registration-arena1750233514
95,Content Creation,The Trading Fox,Actively hiring,Jaipur,₹ 3,"7,000 - 10,000",6,6 days ago,,https://internshala.com/internship/detail/content-creation-internship-in-jaipur-at-the-trading-fox1750142376
96,Content and Social Media Marketing,Aakanksha Mehta,Actively hiring,Delhi,₹ 2,"10,000 - 15,000",4,Few hours ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-delhi-at-aakanksha-mehta1750673629
97,Marketing Executive,Siba Majumdar,Actively hiring,Kolkata,,"8,000 - 9,000",3,Few hours ago,,https://internshala.com/internship/detail/marketing-executive-internship-in-kolkata-at-siba-majumdar1750664041
98,Digitization & Archival Research,Studio Mahatta,Actively hiring,Srinagar,,"9,000 - 10,000",3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/digitization-archival-research-internship-in-srinagar-at-studio-mahatta1748510946
99,Amazon Ads Executive,EMIAC,Actively hiring,Jaipur,,"5,000 - 7,000",6,1 week ago,,https://internshala.com/internship/detail/amazon-ads-executive-internship-in-jaipur-at-emiac1749920979
100,Reels Creator,The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",6,4 days ago,,https://internshala.com/internship/detail/part-time-reels-creator-internship-in-jaipur-at-the-trading-fox1750332479
101,Media & Public Relations (PR),Right Health India,Actively hiring,Mumbai,₹ 6,"8,000 - 20,000",3,Few hours ago,,https://internshala.com/internship/detail/media-public-relations-pr-internship-in-mumbai-at-right-health-india1750664477
102,Brand Management,Right Health India,Actively hiring,Mumbai,₹ 6,"8,000 - 20,000",3,Few hours ago,,https://internshala.com/internship/detail/brand-management-internship-in-mumbai-at-right-health-india1750664041
