,intern_role,company_name,hiring_type,location,job_offer(LPA),duration(months),posted_time,early_applicant,apply_links,stipend_min,stipend_max
5173,Human Resources (HR),Eco Vijay,0.0,Mumbai,0.0,6.0,21,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-eco-vijay1748861890,5000.0,10000
5174,Jewelry/Accessories Design,Nakhrewaali,0.0,Gurgaon,0.0,3.0,21,No,https://internshala.com/internship/detail/jewelry-accessories-design-internship-in-gurgaon-at-nakhrewaali1748868970,8000.0,10000
5175,Search Engine Optimization (SEO),WittyPen,1.0,Pune,0.0,3.0,21,No,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-pune-at-wittypen1748868860,5000.0,10000
5176,Telecalling,Excessway Line Pvt. Ltd.,0.0,Gurgaon,0.0,3.0,21,yes,https://internshala.com/internship/detail/telecalling-internship-in-gurgaon-at-excessway-line-pvt-ltd1748868834,3500.0,5000
5177,Social Media Marketing,Iris Enterprises,1.0,Pune,4.0,3.0,21,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-pune-at-iris-enterprises1748868763,6000.0,12000
5178,Business Development (Sales),Intellisoft,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-intellisoft1748868649,5000.0,10000
5179,Content Writing,Digital Friend,0.0,"Ahmedabad,Gandhinagar",0.0,3.0,21,No,https://internshala.com/internship/detail/content-writing-internship-in-multiple-locations-at-digital-friend1748861453,5000.0,10000
5180,Graphic Design,The Scent Stories,1.0,Mumbai,4.0,3.0,21,No,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-the-scent-stories1748868316,8000.0,10000
5181,Social Media Marketing,Digital Friend,0.0,"Ahmedabad,Gandhinagar",4.0,3.0,21,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-multiple-locations-at-digital-friend1748861308,4000.0,10000
5182,Laravel Development,Techqueto LLP,0.0,Workfromhome,0.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-laravel-development-internship-at-techqueto-llp1748868492,5000.0,10000
5183,Business Development (Sales),SKI Digital,0.0,Workfromhome,2.4,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-ski-digital1748868431,3000.0,16000
5184,Information Technology,Cynergi,1.0,Mumbai,0.0,3.0,21,No,https://internshala.com/internship/detail/part-time-information-technology-internship-in-mumbai-at-cynergi1748868302,5000.0,5001
5185,Auditing & Accounting,Ramesh J Somani And Company,0.0,Pune,0.0,6.0,21,No,https://internshala.com/internship/detail/auditing-accounting-internship-in-pune-at-ramesh-j-somani-and-company1748861089,4000.0,10000
5186,Business Development (Sales),Zero Design Studios,0.0,Mumbai,0.0,3.0,21,No,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-zero-design-studios1748860839,10000.0,15000
5187,Auditing & Accounting,Shridhr & Associates,1.0,"Mumbai,NaviMumbai",0.0,6.0,21,No,https://internshala.com/internship/detail/auditing-accounting-internship-in-multiple-locations-at-shridhr-associates1748868000,20000.0,25000
5188,CGI Art,Vandana Chordia,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-cgi-art-internship-at-vandana-chordia1748867937,15000.0,10000
5189,MERN Stack Development,Diasimos Private Limited,1.0,Ahmedabad,0.0,6.0,21,No,https://internshala.com/internship/detail/mern-stack-development-internship-in-ahmedabad-at-diasimos-private-limited1748867756,9000.0,10000
5190,Digital Marketing,Registration Arena,1.0,"Pune,Pimpri-Chinchwad",0.0,6.0,21,No,https://internshala.com/internship/detail/digital-marketing-internship-in-multiple-locations-at-registration-arena1748867261,5000.0,7500
5191,AI Engineering,Enshrine Global Systems,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-ai-engineering-internship-at-enshrine-global-systems1748867177,5000.0,10000
5192,Interior Design,Stirring Minds,1.0,Delhi,0.0,6.0,21,No,https://internshala.com/internship/detail/interior-design-internship-in-delhi-at-stirring-minds1748867069,7000.0,10000
5193,Social Media Marketing,Aitek Media,0.0,Pune,2.4,3.0,21,No,https://internshala.com/internship/detail/part-time-social-media-marketing-internship-in-pune-at-aitek-media1748866981,5000.0,10000
5194,Sales & Marketing,Euro Dreams Eduverseas Private Limited,0.0,"Delhi,Indore",0.0,4.0,21,No,https://internshala.com/internship/detail/sales-marketing-internship-in-multiple-locations-at-euro-dreams-eduverseas-private-limited1748866921,5000.0,10000
5195,Video Editing/Making,Enshrine Global Systems,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-enshrine-global-systems1748866878,5000.0,10000
5196,Flutter Developer,Sushila Foundation,0.0,Bhopal,0.0,6.0,21,yes,https://internshala.com/internship/detail/flutter-developer-internship-in-bhopal-at-sushila-foundation1748866737,8000.0,12000
5197,Social Media Marketing,Kasaa Hues,0.0,Delhi,0.0,3.0,21,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-delhi-at-kasaa-hues1748859331,7000.0,9000
5198,Marketing,Active Discovery Campus,0.0,Hyderabad,0.0,3.0,21,No,https://internshala.com/internship/detail/marketing-internship-in-hyderabad-at-active-discovery-campus1748866522,15000.0,20000
5199,Marketing,Gogreenpal Enterprises,1.0,Workfromhome,0.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-marketing-internship-at-gogreenpal-enterprises1748865958,5000.0,10000
5200,Graphics Design,GetMyCouch,0.0,Gurgaon,0.0,6.0,21,No,https://internshala.com/internship/detail/graphics-design-internship-in-gurgaon-at-getmycouch1748865902,15000.0,25000
5201,Digital Marketing,Pranaisha Designs,0.0,Bangalore,0.0,3.0,21,No,https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-pranaisha-designs1748858500,11000.0,16000
5202,Digital Marketing,Enshrine Global Systems,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-enshrine-global-systems1748865681,5000.0,10000
